id,x,y
640,1612898.843,4842329.468
641,1612900.71,4842178.31
642,1612900.851,4842376.884
643,1612902.87,4841550.13
644,1612904.91,4841085.3
645,1612906.58,4841355.13
646,1612907.183,4842392.329
647,1612908.782,4841548.88
648,1612909.338,4842100.511
649,1612909.753,4841702.391
650,1612910.69,4840950.4
651,1612911.857,4841649.545
652,1612915.79,4841185.87
653,1612916.248,4841458.967
654,1612916.46,4842113.885
655,1612920.43,4842424.16
656,1612920.615,4841235.364
657,1612922.496,4841565.562
658,1612923.572,4841660.773
659,1612924.1,4841420.33
660,1612924.45,4841881.5
661,1612924.45,4841894.54
662,1612925.09,4841135.14
663,1612925.26,4840944.58
664,1612925.29,4841709.34
665,1612925.68,4841454.91
666,1612926.76,4841545.08
667,1612928.4,4841254.37
668,1612928.661,4840835.765
669,1612929.34,4840995.11
670,1612930.5,4841172.06
671,1612930.74,4841534.21
672,1612931.53,4841983.29
673,1612931.833,4841557.707
674,1612932.42,4840463.088
675,1612932.53,4842031.44
676,1612932.774,4841076.412
677,1612933.04,4840047.95
678,1612933.059,4841754.99
679,1612933.21,4840849.223
680,1612933.58,4841483.96
681,1612934.4,4841460.264
682,1612936.11,4842058.62
683,1612938.43,4841346.36
684,1612940.21,4841482.23
685,1612940.95,4841532.226
686,1612942.091,4841221.234
687,1612942.7,4841251.73
688,1612942.99,4840394.24
689,1612944.58,4841158.85
690,1612944.78,4840385.29
691,1612945.21,4841550.88
692,1612945.98,4841711.12
693,1612946.671,4841395.815
694,1612947.65,4840112.3
695,1612948.58,4841378.34
696,1612948.607,4841970.162
697,1612948.63,4841532.09
698,1612949.52,4842098.25
699,1612950.216,4841422.085
700,1612950.222,4841514.243
701,1612950.62,4841651.56
702,1612951.15,4841508.78
703,1612951.53,4841068.54
704,1612951.81,4841119.14
705,1612952.071,4841243.623
706,1612952.61,4842207.14
707,1612952.84,4840416.63
708,1612952.98,4841882.39
709,1612953.47,4841712.54
710,1612954.63,4840374.99
711,1612955.543,4841890.26
712,1612958.044,4841750.161
713,1612963.72,4840104.38
714,1612963.74,4842116.82
715,1612963.94,4840114.07
716,1612964.45,4842390.2
717,1612965.81,4841144.31
718,1612966.79,4841902.412
719,1612966.81,4841208.63
720,1612966.956,4841337.128
721,1612967.072,4841966.709
722,1612968.958,4840447.376
723,1612969.68,4841549.19
724,1612970.24,4841563.12
725,1612970.48,4840035.06
726,1612971.027,4841537.946
727,1612971.09,4841060.82
728,1612971.31,4841597.35
729,1612971.54,4842112.15
730,1612971.82,4841889.75
731,1612972.21,4841423.05
732,1612972.21,4841911.43
733,1612973.342,4841518.616
734,1612973.63,4842029.02
735,1612975.59,4841707.91
736,1612975.83,4841908.042
737,1612977.356,4841500.884
